12607 			 15 
7869 			 16 
10485 			 11 
13954 			 12 
6695 			 7 
7852 			 15 
9338 			 11 
10365 			 16 
8697 			 12 
13653 			 6 
15247 			 13 
12677 			 13 
18365 			 10 
6824 			 15 
12788 			 10 
17329 			 10 
7933 			 12 
12330 			 8 
9381 			 10 
10851 			 11 
7272 			 10 
10132 			 13 
10380 			 16 
8628 			 18 
6490 			 12 
9676 			 9 
11472 			 16 
10123 			 16 
10283 			 10 
16472 			 13 
8029 			 8 
7882 			 10 
11251 			 16 
13973 			 12 
12867 			 15 
7378 			 14 
6897 			 13 
9707 			 11 
8683 			 12 
17708 			 13 
8937 			 14 
18786 			 9 
10027 			 11 
14646 			 10 
15254 			 16 
9048 			 10 
11766 			 15 
7356 			 12 
8979 			 13 
10369 			 8 
14917 			 10 
17746 			 10 
6771 			 5 
12160 			 13 
10641 			 8 
9799 			 13 
8852 			 12 
6297 			 7 
6226 			 14 
11675 			 10 
7518 			 12 
7463 			 17 
6521 			 15 
6171 			 16 
17555 			 11 
15488 			 13 
6728 			 15 
8131 			 13 
12372 			 8 
9879 			 13 
9784 			 9 
12925 			 7 
10828 			 17 
10055 			 9 
7813 			 11 
20379 			 7 
12761 			 4 
96824 			 2 
93186 			 4 
431643 			 2 
974798 			 1 
7267346 			 0 
11007578 			 3 
47525232 			 1 
3555921 			 3 
23195090 			 2 
47060039 			 3 
35517946 			 1 
106098896 			 3 
13513605 			 1 
203321095 			 2 
18960315 			 3 
267850732 			 2 
33188552 			 6 
345176661 			 2 
71638856 			 2 
456637380 			 2 
73911343 			 4 
559564590 			 3 
116649518 			 3 
686950732 			 5 
128486878 			 3 
837561424 			 3 
179126631 			 5 
865102135 			 3 
237930328 			 4 
787235207 			 4 
303137958 			 4 
755758552 			 3 
311516449 			 5 
685415738 			 3 
321244211 			 4 
652888438 			 2 
334967553 			 5 
662093057 			 3 
337075490 			 5 
610582815 			 4 
359724176 			 5 
588516434 			 4 
339176410 			 5 
485110328 			 4 
339791707 			 3 
432882329 			 5 
289262101 			 3 
268583046 			 3 
307570744 			 1 
13447936 			 1 
282284591 			 1 
54042691 			 0 
98103709 			 1 
178906134 			 1 
58775206 			 0 
105086671 			 1 
20552145 			 0 
18984049 			 3 
20259377 			 1 
4520892 			 2 
4233131 			 7 
1617132 			 7 
1749884 			 20 
1368294 			 44 
1930922 			 45 
861071 			 35 
2582710 			 42 
1310289 			 36 
615375 			 33 
2929883 			 48 
4190073 			 42 
6439814 			 45 
4558108 			 41 
9282316 			 44 
6722996 			 47 
4392669 			 39 
1150734 			 33 
1218582 			 43 
4184143 			 43 
6356077 			 47 
1829328 			 40 
5150882 			 45 
10212665 			 45 
35577979 			 42 
29189780 			 46 
11103732 			 42 
15164910 			 41 
39997585 			 42 
14541367 			 46 
27453702 			 42 
11486352 			 41 
14696704 			 44 
13337581 			 42 
11428786 			 42 
19595006 			 42 
21437071 			 45 
23047579 			 44 
13643940 			 42 
6617622 			 45 
24888207 			 45 
34500506 			 44 
20986054 			 40 
40176958 			 42 
35925410 			 41 
14268634 			 32 
48869008 			 42 
5886291 			 37 
16058832 			 40 
38348635 			 44 
18299317 			 39 
17967256 			 42 
5829504 			 32 
10147552 			 43 
8393265 			 45 
6938161 			 25 
24218772 			 43 
7484453 			 40 
5710470 			 39 
4406183 			 42 
8682304 			 43 
10268745 			 44 
11639624 			 44 
5425014 			 30 
3798175 			 40 
6713943 			 42 
3903248 			 42 
3986576 			 36 
5173358 			 40 
1123401 			 28 
1563331 			 32 
1084433 			 42 
503923 			 15 
459926 			 17 
190301 			 29 
305893 			 25 
163078 			 15 
365079 			 3 
594917 			 7 
64866 			 0 
33759 			 6 
285376 			 6 
102327 			 3 
173636 			 3 
32317 			 15 
111665 			 7 
220651 			 1 
150732 			 2 
193648 			 6 
51146 			 0 
182310 			 0 
21340 			 6 
17337 			 6 
62629 			 16 
6908 			 9 
15974 			 14 
11470 			 13 
5807 			 13 
9874 			 9 
7578 			 15 
15161 			 10 
13877 			 10 
15485 			 10 
16313 			 12 
9278 			 7 
9673 			 9 
12330 			 11 
12439 			 9 
9206 			 12 
8445 			 12 
6248 			 12 
10650 			 12 
7499 			 9 
17357 			 8 
5685 			 13 
8832 			 10 
5678 			 8 
5376 			 11 
7868 			 11 
9383 			 11 
9567 			 14 
11302 			 9 
10582 			 15 
5415 			 13 
18157 			 11 
10233 			 12 
7069 			 12 
12112 			 12 
8588 			 14 
4215 			 9 
7564 			 12 
8719 			 9 
9036 			 15 
8367 			 8 
13101 			 10 
7935 			 13 
5226 			 11 
8690 			 8 
9299 			 12 
7260 			 11 
8863 			 15 
8336 			 8 
17330 			 17 
5965 			 15 
10597 			 13 
10184 			 10 
12148 			 15 
9611 			 16 
9560 			 20 
9900 			 19 
15763 			 11 
12196 			 8 
